,agency_cd,site_no,Dissolved_oxygen_mpl_Mean,Discharge_cfs_Mean,Gage_height_feet_Mean,Dissolved_oxygen_mpl_Maximum,Dissolved_oxygen_mpl_Minimum
1990-07-29,USGS,02234000,,315,1.02,,
1990-07-30,USGS,02234000,,357,1.11,,
1990-07-31,USGS,02234000,,400,1.19,,
1990-08-01,USGS,02234000,,416,1.22,,
1990-08-02,USGS,02234000,,403,1.20,,
1990-08-03,USGS,02234000,,375,1.14,,
1990-08-04,USGS,02234000,,348,1.09,,
1990-08-05,USGS,02234000,,323,1.03,,
1990-08-06,USGS,02234000,,306,1.00,,
1990-08-07,USGS,02234000,,293,0.97,,
1990-08-08,USGS,02234000,,282,0.94,,
1990-08-09,USGS,02234000,,281,0.94,,
1990-08-10,USGS,02234000,,283,0.95,,
1990-08-11,USGS,02234000,,325,1.04,,
1990-08-12,USGS,02234000,,369,1.13,,
1990-08-13,USGS,02234000,,371,1.14,,
1990-08-14,USGS,02234000,,364,1.12,,
1990-08-15,USGS,02234000,,365,,,
1990-08-16,USGS,02234000,,368,,,
1990-08-17,USGS,02234000,,356,,,
1990-08-18,USGS,02234000,,351,,,
1990-08-19,USGS,02234000,,350,,,
1990-08-20,USGS,02234000,,347,,,
1990-08-21,USGS,02234000,,368,,,
1990-08-22,USGS,02234000,,374,1.11,,
1990-08-23,USGS,02234000,,380,1.12,,
1990-08-24,USGS,02234000,,388,1.13,,
1990-08-25,USGS,02234000,,406,1.16,,
1990-08-26,USGS,02234000,,414,1.17,,
1990-08-27,USGS,02234000,,404,1.15,,
1990-08-28,USGS,02234000,,402,1.13,,
1990-08-29,USGS,02234000,,382,1.10,,
1990-08-30,USGS,02234000,,382,1.09,,
1990-08-31,USGS,02234000,,408,1.14,,
1990-09-01,USGS,02234000,,369,1.06,,
1990-09-02,USGS,02234000,,351,1.02,,
1990-09-03,USGS,02234000,,348,1.01,,
1990-09-04,USGS,02234000,,352,1.01,,
1990-09-05,USGS,02234000,,360,1.02,,
1990-09-06,USGS,02234000,,384,1.06,,
1990-09-07,USGS,02234000,,407,1.10,,
1990-09-08,USGS,02234000,,419,1.12,,
1990-09-09,USGS,02234000,,411,1.10,,
1990-09-10,USGS,02234000,,391,1.06,,
1990-09-11,USGS,02234000,,373,1.02,,
1990-09-12,USGS,02234000,,355,0.98,,
1990-09-13,USGS,02234000,,349,0.96,,
1990-09-14,USGS,02234000,,359,0.98,,
1990-09-15,USGS,02234000,,386,1.03,,
1990-09-16,USGS,02234000,,413,1.07,,
1990-09-17,USGS,02234000,,436,1.11,,
1990-09-18,USGS,02234000,,447,1.13,,
1990-09-19,USGS,02234000,,446,1.12,,
1990-09-20,USGS,02234000,,478,1.18,,
1990-09-21,USGS,02234000,,504,1.22,,
1990-09-22,USGS,02234000,,525,1.25,,
1990-09-23,USGS,02234000,,539,1.28,,
1990-09-24,USGS,02234000,,543,1.28,,
1990-09-25,USGS,02234000,,542,1.27,,
1990-09-26,USGS,02234000,,547,1.28,,
1990-09-27,USGS,02234000,,542,1.26,,
1990-09-28,USGS,02234000,,530,1.24,,
1990-09-29,USGS,02234000,,529,1.23,,
1990-09-30,USGS,02234000,,532,1.23,,
1990-10-01,USGS,02234000,,557,1.27,,
1990-10-02,USGS,02234000,,573,1.30,,
1990-10-03,USGS,02234000,,591,1.32,,
1990-10-04,USGS,02234000,,607,1.34,,
1990-10-05,USGS,02234000,,609,1.35,,
1990-10-06,USGS,02234000,,604,1.34,,
1990-10-07,USGS,02234000,,601,1.33,,
1990-10-08,USGS,02234000,,604,1.34,,
1990-10-09,USGS,02234000,,621,1.36,,
1990-10-10,USGS,02234000,,803,1.56,,
1990-10-11,USGS,02234000,,907,1.67,,
1990-10-12,USGS,02234000,,996,1.76,,
1990-10-13,USGS,02234000,,1070,1.84,,
1990-10-14,USGS,02234000,,1100,1.87,,
1990-10-15,USGS,02234000,,1120,1.88,,
1990-10-16,USGS,02234000,,1140,1.91,,
1990-10-17,USGS,02234000,,1190,1.97,,
1990-10-18,USGS,02234000,,1220,2.00,,
1990-10-19,USGS,02234000,,1260,2.05,,
1990-10-20,USGS,02234000,,1300,2.10,,
1990-10-21,USGS,02234000,,1370,2.18,,
1990-10-22,USGS,02234000,,1450,2.27,,
1990-10-23,USGS,02234000,,1520,2.35,,
1990-10-24,USGS,02234000,,1580,2.42,,
1990-10-25,USGS,02234000,,1630,2.47,,
1990-10-26,USGS,02234000,,1640,2.49,,
1990-10-27,USGS,02234000,,1670,2.52,,
1990-10-28,USGS,02234000,,1690,2.54,,
1990-10-29,USGS,02234000,,1720,2.57,,
1990-10-30,USGS,02234000,,1740,2.59,,
1990-10-31,USGS,02234000,,1760,2.62,,
1990-11-01,USGS,02234000,,1790,2.65,,
1990-11-02,USGS,02234000,,1820,2.68,,
1990-11-03,USGS,02234000,,1860,2.71,,
1990-11-04,USGS,02234000,,1920,2.78,,
1990-11-05,USGS,02234000,,1950,2.81,,
1990-11-06,USGS,02234000,,1980,2.84,,
1990-11-07,USGS,02234000,,2000,2.86,,
1990-11-08,USGS,02234000,,2020,2.88,,
1990-11-09,USGS,02234000,,2050,2.90,,
1990-11-10,USGS,02234000,,2090,2.94,,
1990-11-11,USGS,02234000,,2110,2.97,,
1990-11-12,USGS,02234000,,2170,3.02,,
1990-11-13,USGS,02234000,,2210,3.06,,
1990-11-14,USGS,02234000,,2250,3.10,,
1990-11-15,USGS,02234000,,2280,3.13,,
1990-11-16,USGS,02234000,,2320,3.16,,
1990-11-17,USGS,02234000,,2330,3.17,,
1990-11-18,USGS,02234000,,2330,3.17,,
1990-11-19,USGS,02234000,,2340,3.18,,
1990-11-20,USGS,02234000,,2330,3.18,,
1990-11-21,USGS,02234000,,2320,3.17,,
1990-11-22,USGS,02234000,,2320,3.16,,
1990-11-23,USGS,02234000,,2320,3.16,,
1990-11-24,USGS,02234000,,2310,3.15,,
1990-11-25,USGS,02234000,,2310,3.16,,
1990-11-26,USGS,02234000,,2290,3.14,,
1990-11-27,USGS,02234000,,2280,3.13,,
1990-11-28,USGS,02234000,,2260,3.11,,
1990-11-29,USGS,02234000,,2220,3.07,,
1990-11-30,USGS,02234000,,2150,3.00,,
1990-12-01,USGS,02234000,,2140,3.00,,
1990-12-02,USGS,02234000,,2130,2.99,,
1990-12-03,USGS,02234000,,2120,2.97,,
1990-12-04,USGS,02234000,,2100,2.95,,
1990-12-05,USGS,02234000,,2050,2.91,,
1990-12-06,USGS,02234000,,2060,2.92,,
1990-12-07,USGS,02234000,,2070,2.93,,
1990-12-08,USGS,02234000,,2120,2.97,,
1990-12-09,USGS,02234000,,2100,2.96,,
1990-12-10,USGS,02234000,,2090,2.95,,
1990-12-11,USGS,02234000,,2090,2.94,,
1990-12-12,USGS,02234000,,2070,2.92,,
1990-12-13,USGS,02234000,,2040,2.90,,
1990-12-14,USGS,02234000,,2010,2.87,,
1990-12-15,USGS,02234000,,1990,2.85,,
1990-12-16,USGS,02234000,,1960,2.82,,
1990-12-17,USGS,02234000,,1920,2.78,,
1990-12-18,USGS,02234000,,1890,2.75,,
1990-12-19,USGS,02234000,,1850,2.71,,
1990-12-20,USGS,02234000,,1810,2.67,,
1990-12-21,USGS,02234000,,1770,2.62,,
1990-12-22,USGS,02234000,,1720,2.57,,
1990-12-23,USGS,02234000,,1680,2.53,,
1990-12-24,USGS,02234000,,1640,2.48,,
1990-12-25,USGS,02234000,,1590,2.43,,
1990-12-26,USGS,02234000,,1550,2.39,,
1990-12-27,USGS,02234000,,1520,2.35,,
1990-12-28,USGS,02234000,,1500,2.33,,
1990-12-29,USGS,02234000,,1500,2.34,,
1990-12-30,USGS,02234000,,1490,2.33,,
1990-12-31,USGS,02234000,,1480,2.31,,
1991-01-01,USGS,02234000,,1470,2.29,,
1991-01-02,USGS,02234000,,1440,2.27,,
1991-01-03,USGS,02234000,,1420,2.24,,
1991-01-04,USGS,02234000,,1410,2.22,,
1991-01-05,USGS,02234000,,1390,2.21,,
1991-01-06,USGS,02234000,,1380,2.20,,
1991-01-07,USGS,02234000,,1380,2.19,,
1991-01-08,USGS,02234000,,1380,2.19,,
1991-01-09,USGS,02234000,,1370,2.18,,
1991-01-10,USGS,02234000,,1350,2.16,,
1991-01-11,USGS,02234000,,1360,2.17,,
1991-01-12,USGS,02234000,,1360,2.17,,
1991-01-13,USGS,02234000,,1360,2.17,,
1991-01-14,USGS,02234000,,1340,2.15,,
1991-01-15,USGS,02234000,,1330,2.13,,
1991-01-16,USGS,02234000,,1340,2.15,,
1991-01-17,USGS,02234000,,1340,2.14,,
1991-01-18,USGS,02234000,,1320,2.12,,
1991-01-19,USGS,02234000,,1290,2.08,,
1991-01-20,USGS,02234000,,1280,2.08,,
1991-01-21,USGS,02234000,,1260,2.04,,
1991-01-22,USGS,02234000,,1230,2.01,,
1991-01-23,USGS,02234000,,1190,1.96,,
1991-01-24,USGS,02234000,,1160,1.92,,
1991-01-25,USGS,02234000,,1150,1.92,,
1991-01-26,USGS,02234000,,1130,1.90,,
1991-01-27,USGS,02234000,,1130,1.90,,
1991-01-28,USGS,02234000,,1160,1.92,,
1991-01-29,USGS,02234000,,1170,1.93,,
1991-01-30,USGS,02234000,,1160,1.93,,
1991-01-31,USGS,02234000,,1170,1.94,,
1991-02-01,USGS,02234000,,1170,1.94,,
1991-02-02,USGS,02234000,,1200,1.98,,
1991-02-03,USGS,02234000,,1210,1.99,,
1991-02-04,USGS,02234000,,1210,1.99,,
1991-02-05,USGS,02234000,,1210,1.98,,
1991-02-06,USGS,02234000,,1190,1.96,,
1991-02-07,USGS,02234000,,1160,1.94,,
1991-02-08,USGS,02234000,,1150,1.93,,
1991-02-09,USGS,02234000,,1100,1.88,,
1991-02-10,USGS,02234000,,1050,1.82,,
1991-02-11,USGS,02234000,,994,1.77,,
1991-02-12,USGS,02234000,,950,1.72,,
1991-02-13,USGS,02234000,,893,1.66,,
1991-02-14,USGS,02234000,,878,1.65,,
1991-02-15,USGS,02234000,,928,1.70,,
1991-02-16,USGS,02234000,,917,1.69,,
1991-02-17,USGS,02234000,,833,1.60,,
1991-02-18,USGS,02234000,,757,1.51,,
1991-02-19,USGS,02234000,,681,1.43,,
1991-02-20,USGS,02234000,,613,1.35,,
1991-02-21,USGS,02234000,,565,1.27,,
1991-02-22,USGS,02234000,,523,1.20,,
1991-02-23,USGS,02234000,,490,1.14,,
1991-02-24,USGS,02234000,,455,1.07,,
1991-02-25,USGS,02234000,,415,1.00,,
1991-02-26,USGS,02234000,,391,0.95,,
1991-02-27,USGS,02234000,,381,0.94,,
1991-02-28,USGS,02234000,,368,0.91,,
1991-03-01,USGS,02234000,,364,0.90,,
1991-03-02,USGS,02234000,,365,0.91,,
1991-03-03,USGS,02234000,,381,0.93,,
1991-03-04,USGS,02234000,,443,1.05,,
1991-03-05,USGS,02234000,,462,1.08,,
1991-03-06,USGS,02234000,,447,1.06,,
1991-03-07,USGS,02234000,,436,1.04,,
1991-03-08,USGS,02234000,,418,1.00,,
1991-03-09,USGS,02234000,,431,1.03,,
1991-03-10,USGS,02234000,,445,1.05,,
1991-03-11,USGS,02234000,,453,1.07,,
1991-03-12,USGS,02234000,,465,1.09,,
1991-03-13,USGS,02234000,,465,1.09,,
1991-03-14,USGS,02234000,,475,1.11,,
1991-03-15,USGS,02234000,,467,1.09,,
1991-03-16,USGS,02234000,,469,1.10,,
1991-03-17,USGS,02234000,,568,1.25,,
1991-03-18,USGS,02234000,,1100,1.90,,
1991-03-19,USGS,02234000,,1380,2.23,,
1991-03-20,USGS,02234000,,1500,2.37,,
1991-03-21,USGS,02234000,,1580,2.46,,
1991-03-22,USGS,02234000,,1610,2.50,,
1991-03-23,USGS,02234000,,1610,2.49,,
1991-03-24,USGS,02234000,,1580,2.46,,
1991-03-25,USGS,02234000,,1540,2.42,,
1991-03-26,USGS,02234000,,1480,2.35,,
1991-03-27,USGS,02234000,,1410,2.27,,
1991-03-28,USGS,02234000,,1340,2.18,,
1991-03-29,USGS,02234000,,1250,2.08,,
1991-03-30,USGS,02234000,,1210,2.02,,
1991-03-31,USGS,02234000,,1240,2.06,,
1991-04-01,USGS,02234000,,1260,2.09,,
1991-04-02,USGS,02234000,,1220,2.04,,
1991-04-03,USGS,02234000,,1170,1.97,,
1991-04-04,USGS,02234000,,1090,1.88,,
1991-04-05,USGS,02234000,,1070,1.86,,
1991-04-06,USGS,02234000,,1080,1.87,,
1991-04-07,USGS,02234000,,1110,1.90,,
1991-04-08,USGS,02234000,,1190,2.00,,
1991-04-09,USGS,02234000,,1240,2.07,,
1991-04-10,USGS,02234000,,1440,2.30,,
1991-04-11,USGS,02234000,,1480,2.34,,
1991-04-12,USGS,02234000,,1410,2.27,,
1991-04-13,USGS,02234000,,1320,2.17,,
1991-04-14,USGS,02234000,,1220,2.04,,
1991-04-15,USGS,02234000,,1120,1.92,,
1991-04-16,USGS,02234000,,1030,1.82,,
1991-04-17,USGS,02234000,,986,1.78,,
1991-04-18,USGS,02234000,,1030,1.83,,
1991-04-19,USGS,02234000,,1060,1.86,,
1991-04-20,USGS,02234000,,1170,1.98,,
1991-04-21,USGS,02234000,,1260,2.09,,
1991-04-22,USGS,02234000,,1310,2.15,,
1991-04-23,USGS,02234000,,1410,2.27,,
1991-04-24,USGS,02234000,,1690,2.58,,
1991-04-25,USGS,02234000,,1910,2.81,,
1991-04-26,USGS,02234000,,2210,3.10,,
1991-04-27,USGS,02234000,,2410,3.29,,
1991-04-28,USGS,02234000,,2540,3.40,,
1991-04-29,USGS,02234000,,2580,3.44,,
1991-04-30,USGS,02234000,,2530,3.40,,
1991-05-01,USGS,02234000,,2450,3.32,,
1991-05-02,USGS,02234000,,2370,3.25,,
1991-05-03,USGS,02234000,,2260,3.15,,
1991-05-04,USGS,02234000,,2150,3.04,,
1991-05-05,USGS,02234000,,2030,2.93,,
1991-05-06,USGS,02234000,,1930,2.83,,
1991-05-07,USGS,02234000,,1890,2.79,,
1991-05-08,USGS,02234000,,1790,2.68,,
1991-05-09,USGS,02234000,,1680,2.57,,
1991-05-10,USGS,02234000,,1580,2.46,,
1991-05-11,USGS,02234000,,1480,2.35,,
1991-05-12,USGS,02234000,,1390,2.25,,
1991-05-13,USGS,02234000,,1340,2.19,,
1991-05-14,USGS,02234000,,1320,2.16,,
1991-05-15,USGS,02234000,,1260,2.09,,
1991-05-16,USGS,02234000,,1220,2.04,,
1991-05-17,USGS,02234000,,1200,2.01,,
1991-05-18,USGS,02234000,,1190,2.00,,
1991-05-19,USGS,02234000,,1190,2.00,,
1991-05-20,USGS,02234000,,1190,2.00,,
1991-05-21,USGS,02234000,,1230,2.05,,
1991-05-22,USGS,02234000,,1210,2.03,,
1991-05-23,USGS,02234000,,1270,2.08,,
1991-05-24,USGS,02234000,,1790,2.60,,
1991-05-25,USGS,02234000,,2340,3.10,,
1991-05-26,USGS,02234000,,2640,3.33,,
1991-05-27,USGS,02234000,,3050,3.64,,
1991-05-28,USGS,02234000,,3280,3.79,,
1991-05-29,USGS,02234000,,3370,3.88,,
1991-05-30,USGS,02234000,,3370,3.91,,
1991-05-31,USGS,02234000,,3360,3.93,,
1991-06-01,USGS,02234000,,3350,3.94,,
1991-06-02,USGS,02234000,,3390,4.00,,
1991-06-03,USGS,02234000,,3410,4.04,,
1991-06-04,USGS,02234000,,3380,4.04,,
1991-06-05,USGS,02234000,,3300,4.01,,
1991-06-06,USGS,02234000,,3290,4.02,,
1991-06-07,USGS,02234000,,3310,4.07,,
1991-06-08,USGS,02234000,,3320,4.10,,
1991-06-09,USGS,02234000,,3300,4.11,,
1991-06-10,USGS,02234000,,3250,4.09,,
1991-06-11,USGS,02234000,,3190,4.07,,
1991-06-12,USGS,02234000,,3120,4.04,,
1991-06-13,USGS,02234000,,3040,3.99,,
1991-06-14,USGS,02234000,,2960,3.95,,
1991-06-15,USGS,02234000,,2900,3.93,,
1991-06-16,USGS,02234000,,2820,3.88,,
1991-06-17,USGS,02234000,,2810,3.90,,
1991-06-18,USGS,02234000,,2810,3.92,,
1991-06-19,USGS,02234000,,2860,4.00,,
1991-06-20,USGS,02234000,,2980,4.12,,
1991-06-21,USGS,02234000,,2990,4.16,,
1991-06-22,USGS,02234000,,3060,4.24,,
1991-06-23,USGS,02234000,,3050,4.26,,
1991-06-24,USGS,02234000,,3030,4.27,,
1991-06-25,USGS,02234000,,3100,4.35,,
1991-06-26,USGS,02234000,,3220,4.48,,
1991-06-27,USGS,02234000,,3410,4.66,,
1991-06-28,USGS,02234000,,3410,4.69,,
1991-06-29,USGS,02234000,,3390,4.70,,
1991-06-30,USGS,02234000,,3420,4.75,,
1991-07-01,USGS,02234000,,3470,4.81,,
1991-07-02,USGS,02234000,,3550,4.90,,
1991-07-03,USGS,02234000,,3680,5.03,,
1991-07-04,USGS,02234000,,3790,5.15,,
1991-07-05,USGS,02234000,,3950,5.30,,
1991-07-06,USGS,02234000,,4250,5.56,,
1991-07-07,USGS,02234000,,4420,5.71,,
1991-07-08,USGS,02234000,,4490,5.79,,
1991-07-09,USGS,02234000,,4550,5.86,,
1991-07-10,USGS,02234000,,4580,5.91,,
1991-07-11,USGS,02234000,,4590,5.94,,
1991-07-12,USGS,02234000,,4540,5.92,,
1991-07-13,USGS,02234000,,4700,6.04,,
1991-07-14,USGS,02234000,,4910,6.20,,
1991-07-15,USGS,02234000,,5140,6.36,,
1991-07-16,USGS,02234000,,5450,6.58,,
1991-07-17,USGS,02234000,,5750,6.79,,
1991-07-18,USGS,02234000,,5870,6.87,,
1991-07-19,USGS,02234000,,5850,6.86,,
1991-07-20,USGS,02234000,,5770,6.81,,
1991-07-21,USGS,02234000,,5700,6.76,,
1991-07-22,USGS,02234000,,5550,6.66,,
1991-07-23,USGS,02234000,,5400,6.55,,
1991-07-24,USGS,02234000,,5260,6.47,,
1991-07-25,USGS,02234000,,5230,6.45,,
1991-07-26,USGS,02234000,,5460,6.60,,
1991-07-27,USGS,02234000,,5440,6.59,,
1991-07-28,USGS,02234000,,5420,6.58,,
1991-07-29,USGS,02234000,,5470,6.61,,
1991-07-30,USGS,02234000,,5550,6.67,,
1991-07-31,USGS,02234000,,5660,6.75,,
1991-08-01,USGS,02234000,,5850,6.88,,
1991-08-02,USGS,02234000,,5940,6.94,,
1991-08-03,USGS,02234000,,5920,6.93,,
1991-08-04,USGS,02234000,,5840,6.88,,
1991-08-05,USGS,02234000,,5740,6.81,,
1991-08-06,USGS,02234000,,5640,6.74,,
1991-08-07,USGS,02234000,,5520,6.65,,
1991-08-08,USGS,02234000,,5370,6.56,,
1991-08-09,USGS,02234000,,5210,6.45,,
1991-08-10,USGS,02234000,,5110,6.38,,
1991-08-11,USGS,02234000,,4990,6.29,,
1991-08-12,USGS,02234000,,4970,6.28,,
1991-08-13,USGS,02234000,,4900,6.23,,
1991-08-14,USGS,02234000,,4900,6.23,,
1991-08-15,USGS,02234000,,4850,6.19,,
1991-08-16,USGS,02234000,,4920,6.25,,
1991-08-17,USGS,02234000,,4880,6.22,,
1991-08-18,USGS,02234000,,4770,6.15,,
1991-08-19,USGS,02234000,,4690,6.09,,
1991-08-20,USGS,02234000,,4590,6.01,,
1991-08-21,USGS,02234000,,4480,5.93,,
1991-08-22,USGS,02234000,,4360,5.85,,
1991-08-23,USGS,02234000,,4240,5.76,,
1991-08-24,USGS,02234000,,4170,5.71,,
1991-08-25,USGS,02234000,,4220,5.75,,
1991-08-26,USGS,02234000,,4350,5.84,,
1991-08-27,USGS,02234000,,4340,5.84,,
1991-08-28,USGS,02234000,,4310,5.82,,
1991-08-29,USGS,02234000,,4290,5.81,,
1991-08-30,USGS,02234000,,4260,5.79,,
1991-08-31,USGS,02234000,,4220,5.76,,
1991-09-01,USGS,02234000,,4170,5.73,,
1991-09-02,USGS,02234000,,4120,5.69,,
1991-09-03,USGS,02234000,,4060,5.65,,
1991-09-04,USGS,02234000,,3990,5.60,,
1991-09-05,USGS,02234000,,3900,5.53,,
1991-09-06,USGS,02234000,,3810,5.46,,
1991-09-07,USGS,02234000,,3720,5.40,,
1991-09-08,USGS,02234000,,3670,5.36,,
1991-09-09,USGS,02234000,,3700,5.39,,
1991-09-10,USGS,02234000,,3650,5.34,,
1991-09-11,USGS,02234000,,3580,5.30,,
1991-09-12,USGS,02234000,,3510,5.24,,
1991-09-13,USGS,02234000,,3440,5.19,,
