,agency_cd,site_no,Dissolved_oxygen_mpl_Mean,Gage_height_feet_Mean,Discharge_cfs_Mean,Dissolved_oxygen_mpl_Maximum,Dissolved_oxygen_mpl_Minimum
1999-11-06,USGS,02234500,,5.90,8900,,
1999-11-07,USGS,02234500,,5.87,8810,,
1999-11-08,USGS,02234500,,5.85,8800,,
1999-11-09,USGS,02234500,,5.82,8760,,
1999-11-10,USGS,02234500,,5.79,8800,,
1999-11-11,USGS,02234500,,5.75,8630,,
1999-11-12,USGS,02234500,,5.70,8460,,
1999-11-13,USGS,02234500,,5.65,8310,,
1999-11-14,USGS,02234500,,5.61,8300,,
1999-11-15,USGS,02234500,,5.56,8110,,
1999-11-16,USGS,02234500,,5.52,8050,,
1999-11-17,USGS,02234500,,5.46,7870,,
1999-11-18,USGS,02234500,,5.41,7720,,
1999-11-19,USGS,02234500,,5.37,7630,,
1999-11-20,USGS,02234500,,5.32,7520,,
1999-11-21,USGS,02234500,,5.28,7500,,
1999-11-22,USGS,02234500,,5.27,7340,,
1999-11-23,USGS,02234500,,5.23,7270,,
1999-11-24,USGS,02234500,,5.20,7240,,
1999-11-25,USGS,02234500,,5.18,7270,,
1999-11-26,USGS,02234500,,5.14,7070,,
1999-11-27,USGS,02234500,,5.08,6820,,
1999-11-28,USGS,02234500,,5.02,6770,,
1999-11-29,USGS,02234500,,4.96,6680,,
1999-11-30,USGS,02234500,,4.89,6340,,
1999-12-01,USGS,02234500,,4.80,6200,,
1999-12-02,USGS,02234500,,4.74,6140,,
1999-12-03,USGS,02234500,,4.69,6150,,
1999-12-04,USGS,02234500,,4.64,6150,,
1999-12-05,USGS,02234500,,4.59,6020,,
1999-12-06,USGS,02234500,,4.52,5790,,
1999-12-07,USGS,02234500,,4.45,5770,,
1999-12-08,USGS,02234500,,4.39,5690,,
1999-12-09,USGS,02234500,,4.32,5600,,
1999-12-10,USGS,02234500,,4.24,5470,,
1999-12-11,USGS,02234500,,4.17,5410,,
1999-12-12,USGS,02234500,,4.11,5440,,
1999-12-13,USGS,02234500,,4.03,5180,,
1999-12-14,USGS,02234500,,3.95,4970,,
1999-12-15,USGS,02234500,,3.88,4850,,
1999-12-16,USGS,02234500,,3.79,4780,,
1999-12-17,USGS,02234500,,3.71,4650,,
1999-12-18,USGS,02234500,,3.77,4780,,
1999-12-19,USGS,02234500,,3.75,4550,,
1999-12-20,USGS,02234500,,3.71,4640,,
1999-12-21,USGS,02234500,,3.66,4500,,
1999-12-22,USGS,02234500,,3.61,4440,,
1999-12-23,USGS,02234500,,3.56,4270,,
1999-12-24,USGS,02234500,,3.50,4000,,
1999-12-25,USGS,02234500,,3.45,3880,,
1999-12-26,USGS,02234500,,3.39,3710,,
1999-12-27,USGS,02234500,,3.36,3770,,
1999-12-28,USGS,02234500,,3.31,3760,,
1999-12-29,USGS,02234500,,3.25,3720,,
1999-12-30,USGS,02234500,,3.20,3880,,
1999-12-31,USGS,02234500,,3.13,3990,,
2000-01-01,USGS,02234500,,3.06,3940,,
2000-01-02,USGS,02234500,,2.98,3930,,
2000-01-03,USGS,02234500,,2.90,3840,,
2000-01-04,USGS,02234500,,2.82,3660,,
2000-01-05,USGS,02234500,,2.71,3550,,
2000-01-06,USGS,02234500,,2.64,3480,,
2000-01-07,USGS,02234500,,2.62,3190,,
2000-01-08,USGS,02234500,,2.58,3320,,
2000-01-09,USGS,02234500,,2.49,3090,,
2000-01-10,USGS,02234500,,2.46,3020,,
2000-01-11,USGS,02234500,,2.42,2890,,
2000-01-12,USGS,02234500,,2.33,2920,,
2000-01-13,USGS,02234500,,2.25,2930,,
2000-01-14,USGS,02234500,,2.15,2280,,
2000-01-15,USGS,02234500,,2.10,2240,,
2000-01-16,USGS,02234500,,2.08,2450,,
2000-01-17,USGS,02234500,,2.03,2430,,
2000-01-18,USGS,02234500,,1.94,2290,,
2000-01-19,USGS,02234500,,1.91,2340,,
2000-01-20,USGS,02234500,,1.81,1930,,
2000-01-21,USGS,02234500,,1.83,1510,,
2000-01-22,USGS,02234500,,1.83,1880,,
2000-01-23,USGS,02234500,,1.81,1940,,
2000-01-24,USGS,02234500,,1.76,1020,,
2000-01-25,USGS,02234500,,1.81,788,,
2000-01-26,USGS,02234500,,1.82,1020,,
2000-01-27,USGS,02234500,,1.87,1370,,
2000-01-28,USGS,02234500,,1.85,1390,,
2000-01-29,USGS,02234500,,1.86,1630,,
2000-01-30,USGS,02234500,,1.83,1610,,
2000-01-31,USGS,02234500,,1.80,1240,,
2000-02-01,USGS,02234500,,1.77,1690,,
2000-02-02,USGS,02234500,,1.70,1860,,
2000-02-03,USGS,02234500,,1.61,1890,,
2000-02-04,USGS,02234500,,1.51,1820,,
2000-02-05,USGS,02234500,,1.43,1580,,
2000-02-06,USGS,02234500,,1.38,1760,,
2000-02-07,USGS,02234500,,1.33,1600,,
2000-02-08,USGS,02234500,,1.27,1660,,
2000-02-09,USGS,02234500,,1.21,1080,,
2000-02-10,USGS,02234500,,1.21,1090,,
2000-02-11,USGS,02234500,,1.23,1100,,
2000-02-12,USGS,02234500,,1.22,1300,,
2000-02-13,USGS,02234500,,1.16,1510,,
2000-02-14,USGS,02234500,,1.11,1590,,
2000-02-15,USGS,02234500,,1.06,1270,,
2000-02-16,USGS,02234500,,1.02,1310,,
2000-02-17,USGS,02234500,,0.98,1280,,
2000-02-18,USGS,02234500,,0.95,1230,,
2000-02-19,USGS,02234500,,0.93,685,,
2000-02-20,USGS,02234500,,0.94,192,,
2000-02-21,USGS,02234500,,0.96,42.0,,
2000-02-22,USGS,02234500,,1.05,-187,,
2000-02-23,USGS,02234500,,1.14,165,,
2000-02-24,USGS,02234500,,1.17,303,,
2000-02-25,USGS,02234500,,1.17,629,,
2000-02-26,USGS,02234500,,1.13,832,,
2000-02-27,USGS,02234500,,1.08,1010,,
2000-02-28,USGS,02234500,,1.05,719,,
2000-02-29,USGS,02234500,,1.00,743,,
2000-03-01,USGS,02234500,,0.95,673,,
2000-03-02,USGS,02234500,,0.89,635,,
2000-03-03,USGS,02234500,,0.84,837,,
2000-03-04,USGS,02234500,,0.75,628,,
2000-03-05,USGS,02234500,,0.78,418,,
2000-03-06,USGS,02234500,,0.79,289,,
2000-03-07,USGS,02234500,,0.81,476,,
2000-03-08,USGS,02234500,,0.81,471,,
2000-03-09,USGS,02234500,,0.79,556,,
2000-03-10,USGS,02234500,,0.77,701,,
2000-03-11,USGS,02234500,,0.68,714,,
2000-03-12,USGS,02234500,,0.61,-25.0,,
2000-03-13,USGS,02234500,,0.62,351,,
2000-03-14,USGS,02234500,,0.59,395,,
2000-03-15,USGS,02234500,,0.63,244,,
2000-03-16,USGS,02234500,,0.64,139,,
2000-03-17,USGS,02234500,,0.67,-291,,
2000-03-18,USGS,02234500,,0.71,301,,
2000-03-19,USGS,02234500,,0.73,216,,
2000-03-20,USGS,02234500,,0.70,-780,,
2000-03-21,USGS,02234500,,0.83,-726,,
2000-03-22,USGS,02234500,,0.96,-699,,
2000-03-23,USGS,02234500,,1.05,-1010,,
2000-03-24,USGS,02234500,,1.20,-1080,,
2000-03-25,USGS,02234500,,1.33,-751,,
2000-03-26,USGS,02234500,,1.32,-418,,
2000-03-27,USGS,02234500,,1.28,628,,
2000-03-28,USGS,02234500,,1.18,778,,
2000-03-29,USGS,02234500,,1.11,1340,,
2000-03-30,USGS,02234500,,0.98,1300,,
2000-03-31,USGS,02234500,,0.99,-318,,
2000-04-01,USGS,02234500,,1.11,153,,
2000-04-02,USGS,02234500,,1.11,336,,
2000-04-03,USGS,02234500,,1.06,522,,
2000-04-04,USGS,02234500,,0.98,138,,
2000-04-05,USGS,02234500,,1.00,-490,,
2000-04-06,USGS,02234500,,0.98,987,,
2000-04-07,USGS,02234500,,0.90,1040,,
2000-04-08,USGS,02234500,,0.76,677,,
2000-04-09,USGS,02234500,,0.77,-262,,
2000-04-10,USGS,02234500,,0.76,1100,,
2000-04-11,USGS,02234500,,0.69,925,,
2000-04-12,USGS,02234500,,0.62,719,,
2000-04-13,USGS,02234500,,0.60,358,,
2000-04-14,USGS,02234500,,0.71,-203,,
2000-04-15,USGS,02234500,,0.85,-890,,
2000-04-16,USGS,02234500,,0.97,-427,,
2000-04-17,USGS,02234500,,0.94,-304,,
2000-04-18,USGS,02234500,,0.92,-319,,
2000-04-19,USGS,02234500,,0.96,324,,
2000-04-20,USGS,02234500,,0.96,590,,
2000-04-21,USGS,02234500,,0.92,-2.80,,
2000-04-22,USGS,02234500,,0.90,-431,,
2000-04-23,USGS,02234500,,0.93,562,,
2000-04-24,USGS,02234500,,0.89,791,,
2000-04-25,USGS,02234500,,0.80,-81.0,,
2000-04-26,USGS,02234500,,0.81,-343,,
2000-04-27,USGS,02234500,,0.81,384,,
2000-04-28,USGS,02234500,,0.76,459,,
2000-04-29,USGS,02234500,,0.73,249,,
2000-04-30,USGS,02234500,,0.75,18.0,,
2000-05-01,USGS,02234500,,0.83,286,,
2000-05-02,USGS,02234500,,0.81,386,,
2000-05-03,USGS,02234500,,0.81,734,,
2000-05-04,USGS,02234500,,0.78,627,,
2000-05-05,USGS,02234500,,0.78,233,,
2000-05-06,USGS,02234500,,0.80,42.0,,
2000-05-07,USGS,02234500,,0.80,258,,
2000-05-08,USGS,02234500,,0.77,798,,
2000-05-09,USGS,02234500,,0.72,887,,
2000-05-10,USGS,02234500,,0.64,541,,
2000-05-11,USGS,02234500,,0.59,494,,
2000-05-12,USGS,02234500,,0.56,421,,
2000-05-13,USGS,02234500,,0.56,113,,
2000-05-14,USGS,02234500,,0.55,-108,,
2000-05-15,USGS,02234500,,0.59,-301,,
2000-05-16,USGS,02234500,,0.73,-361,,
2000-05-17,USGS,02234500,,0.84,-242,,
2000-05-18,USGS,02234500,,0.89,209,,
2000-05-19,USGS,02234500,,0.84,338,,
2000-05-20,USGS,02234500,,0.77,746,,
2000-05-21,USGS,02234500,,0.67,1040,,
2000-05-22,USGS,02234500,,0.54,824,,
2000-05-23,USGS,02234500,,0.45,504,,
2000-05-24,USGS,02234500,,0.41,243,,
2000-05-25,USGS,02234500,,0.39,23.0,,
2000-05-26,USGS,02234500,,0.38,583,,
2000-05-27,USGS,02234500,,0.37,52.0,,
2000-05-28,USGS,02234500,,0.39,-125,,
2000-05-29,USGS,02234500,,0.42,56.0,,
2000-05-30,USGS,02234500,,0.53,-258,,
2000-05-31,USGS,02234500,,0.65,-471,,
2000-06-01,USGS,02234500,,0.82,-539,,
2000-06-02,USGS,02234500,,0.93,-428,,
2000-06-03,USGS,02234500,,1.00,-131,,
2000-06-04,USGS,02234500,,1.00,-203,,
2000-06-05,USGS,02234500,,1.00,-144,,
2000-06-06,USGS,02234500,,0.98,-19.0,,
2000-06-07,USGS,02234500,,1.02,339,,
2000-06-08,USGS,02234500,,1.04,177,,
2000-06-09,USGS,02234500,,1.05,210,,
2000-06-10,USGS,02234500,,1.05,251,,
2000-06-11,USGS,02234500,,1.04,274,,
2000-06-12,USGS,02234500,,1.00,381,,
2000-06-13,USGS,02234500,,0.99,1080,,
2000-06-14,USGS,02234500,,0.92,1210,,
2000-06-15,USGS,02234500,,0.83,1320,,
2000-06-16,USGS,02234500,,0.73,1190,,
2000-06-17,USGS,02234500,,0.59,1240,,
2000-06-18,USGS,02234500,,0.58,891,,
2000-06-19,USGS,02234500,,0.54,959,,
2000-06-20,USGS,02234500,,0.47,992,,
2000-06-21,USGS,02234500,,0.40,425,,
2000-06-22,USGS,02234500,,0.39,15.0,,
2000-06-23,USGS,02234500,,0.43,-58.0,,
2000-06-24,USGS,02234500,,0.47,259,,
2000-06-25,USGS,02234500,,0.48,47.0,,
2000-06-26,USGS,02234500,,0.47,-135,,
2000-06-27,USGS,02234500,,0.51,134,,
2000-06-28,USGS,02234500,,0.53,432,,
2000-06-29,USGS,02234500,,0.54,582,,
2000-06-30,USGS,02234500,,0.51,669,,
2000-07-01,USGS,02234500,,0.50,395,,
2000-07-02,USGS,02234500,,0.59,-399,,
2000-07-03,USGS,02234500,,0.71,-380,,
2000-07-04,USGS,02234500,,0.81,-386,,
2000-07-05,USGS,02234500,,0.89,-405,,
2000-07-06,USGS,02234500,,0.89,-396,,
2000-07-07,USGS,02234500,,0.92,-3.80,,
2000-07-08,USGS,02234500,,1.01,168,,
2000-07-09,USGS,02234500,,1.07,43.0,,
2000-07-10,USGS,02234500,,1.09,-407,,
2000-07-11,USGS,02234500,,1.07,439,,
2000-07-12,USGS,02234500,,1.02,95.0,,
2000-07-13,USGS,02234500,,0.98,642,,
2000-07-14,USGS,02234500,,0.95,569,,
2000-07-15,USGS,02234500,,0.93,390,,
2000-07-16,USGS,02234500,,0.92,-203,,
2000-07-17,USGS,02234500,,0.90,-92.0,,
2000-07-18,USGS,02234500,,0.87,160,,
2000-07-19,USGS,02234500,,0.90,427,,
2000-07-20,USGS,02234500,,0.89,261,,
2000-07-21,USGS,02234500,,0.87,665,,
2000-07-22,USGS,02234500,,0.82,592,,
2000-07-23,USGS,02234500,,0.85,368,,
2000-07-24,USGS,02234500,,0.87,533,,
2000-07-25,USGS,02234500,,0.90,635,,
2000-07-26,USGS,02234500,,1.01,-63.0,,
2000-07-27,USGS,02234500,,1.12,364,,
2000-07-28,USGS,02234500,,1.14,595,,
2000-07-29,USGS,02234500,,1.15,452,,
2000-07-30,USGS,02234500,,1.15,601,,
2000-07-31,USGS,02234500,,1.11,909,,
2000-08-01,USGS,02234500,,1.08,752,,
2000-08-02,USGS,02234500,,1.06,776,,
2000-08-03,USGS,02234500,,1.09,901,,
2000-08-04,USGS,02234500,,1.11,97.0,,
2000-08-05,USGS,02234500,,1.12,462,,
2000-08-06,USGS,02234500,,1.10,788,,
2000-08-07,USGS,02234500,,1.09,972,,
2000-08-08,USGS,02234500,,1.05,739,,
2000-08-09,USGS,02234500,,1.05,296,,
2000-08-10,USGS,02234500,,1.07,-321,,
2000-08-11,USGS,02234500,,1.08,-232,,
2000-08-12,USGS,02234500,,1.07,245,,
2000-08-13,USGS,02234500,,1.04,62.0,,
2000-08-14,USGS,02234500,,1.06,-388,,
2000-08-15,USGS,02234500,,1.12,-373,,
2000-08-16,USGS,02234500,,1.16,-150,,
2000-08-17,USGS,02234500,,1.16,63.0,,
2000-08-18,USGS,02234500,,1.12,731,,
2000-08-19,USGS,02234500,,1.04,859,,
2000-08-20,USGS,02234500,,1.02,270,,
2000-08-21,USGS,02234500,,1.06,-166,,
2000-08-22,USGS,02234500,,1.19,-643,,
2000-08-23,USGS,02234500,,1.31,-731,,
2000-08-24,USGS,02234500,,1.37,-177,,
2000-08-25,USGS,02234500,,1.37,393,,
2000-08-26,USGS,02234500,,1.40,790,,
2000-08-27,USGS,02234500,,1.35,823,,
2000-08-28,USGS,02234500,,1.31,495,,
2000-08-29,USGS,02234500,,1.32,-167,,
2000-08-30,USGS,02234500,,1.40,-831,,
2000-08-31,USGS,02234500,,1.51,-397,,
2000-09-01,USGS,02234500,,1.55,-277,,
2000-09-02,USGS,02234500,,1.54,246,,
2000-09-03,USGS,02234500,,1.51,436,,
2000-09-04,USGS,02234500,,1.49,653,,
2000-09-05,USGS,02234500,,1.48,457,,
2000-09-06,USGS,02234500,,1.51,492,,
2000-09-07,USGS,02234500,,1.62,-801,,
2000-09-08,USGS,02234500,,1.78,-758,,
2000-09-09,USGS,02234500,,1.99,-771,,
2000-09-10,USGS,02234500,,2.16,-1210,,
2000-09-11,USGS,02234500,,2.25,-1050,,
2000-09-12,USGS,02234500,,2.32,-477,,
2000-09-13,USGS,02234500,,2.35,-53.0,,
2000-09-14,USGS,02234500,,2.34,634,,
2000-09-15,USGS,02234500,,2.30,429,,
2000-09-16,USGS,02234500,,2.30,551,,
2000-09-17,USGS,02234500,,2.38,977,,
2000-09-18,USGS,02234500,,2.32,1080,,
2000-09-19,USGS,02234500,,2.32,665,,
2000-09-20,USGS,02234500,,2.37,1320,,
2000-09-21,USGS,02234500,,2.34,1210,,
2000-09-22,USGS,02234500,,2.32,1400,,
2000-09-23,USGS,02234500,,2.26,1590,,
2000-09-24,USGS,02234500,,2.20,1660,,
2000-09-25,USGS,02234500,,2.13,1760,,
2000-09-26,USGS,02234500,,2.04,1860,,
2000-09-27,USGS,02234500,,1.99,1580,,
2000-09-28,USGS,02234500,,1.96,1130,,
2000-09-29,USGS,02234500,,2.01,886,,
2000-09-30,USGS,02234500,,2.09,-120,,
2000-10-01,USGS,02234500,,2.20,-840,,
2000-10-02,USGS,02234500,,2.34,-322,,
2000-10-03,USGS,02234500,,2.44,511,,
2000-10-04,USGS,02234500,,2.47,756,,
2000-10-05,USGS,02234500,,2.48,1290,,
2000-10-06,USGS,02234500,,2.45,1490,,
2000-10-07,USGS,02234500,,2.41,1560,,
2000-10-08,USGS,02234500,,2.36,1420,,
2000-10-09,USGS,02234500,,2.35,-27.0,,
2000-10-10,USGS,02234500,,2.48,622,,
2000-10-11,USGS,02234500,,2.52,1160,,
2000-10-12,USGS,02234500,,2.53,1630,,
2000-10-13,USGS,02234500,,2.53,1650,,
2000-10-14,USGS,02234500,,2.52,1660,,
2000-10-15,USGS,02234500,,2.51,1870,,
2000-10-16,USGS,02234500,,2.49,1920,,
2000-10-17,USGS,02234500,,2.47,2010,,
2000-10-18,USGS,02234500,,2.44,1960,,
2000-10-19,USGS,02234500,,2.41,2170,,
2000-10-20,USGS,02234500,,2.38,2000,,
2000-10-21,USGS,02234500,,2.37,2030,,
2000-10-22,USGS,02234500,,2.36,1910,,
2000-10-23,USGS,02234500,,2.36,1810,,
2000-10-24,USGS,02234500,,2.37,1520,,
2000-10-25,USGS,02234500,,2.43,1180,,
2000-10-26,USGS,02234500,,2.48,1030,,
2000-10-27,USGS,02234500,,2.51,989,,
2000-10-28,USGS,02234500,,2.53,1540,,
2000-10-29,USGS,02234500,,2.52,1710,,
2000-10-30,USGS,02234500,,2.51,1670,,
2000-10-31,USGS,02234500,,2.49,1770,,
2000-11-01,USGS,02234500,,2.46,1830,,
2000-11-02,USGS,02234500,,2.42,1950,,
2000-11-03,USGS,02234500,,2.38,1940,,
2000-11-04,USGS,02234500,,2.33,2030,,
2000-11-05,USGS,02234500,,2.28,2010,,
2000-11-06,USGS,02234500,,2.24,1990,,
2000-11-07,USGS,02234500,,2.21,2010,,
2000-11-08,USGS,02234500,,2.19,2090,,
2000-11-09,USGS,02234500,,2.14,1980,,
2000-11-10,USGS,02234500,,2.06,1860,,
2000-11-11,USGS,02234500,,2.01,1650,,
2000-11-12,USGS,02234500,,1.99,1620,,
2000-11-13,USGS,02234500,,1.98,1580,,
2000-11-14,USGS,02234500,,1.96,1460,,
2000-11-15,USGS,02234500,,1.97,923,,
2000-11-16,USGS,02234500,,1.97,1420,,
2000-11-17,USGS,02234500,,1.93,1480,,
2000-11-18,USGS,02234500,,1.91,1330,,
2000-11-19,USGS,02234500,,1.88,1390,,
2000-11-20,USGS,02234500,,1.89,193,,
2000-11-21,USGS,02234500,,1.93,246,,
2000-11-22,USGS,02234500,,1.96,1000,,
2000-11-23,USGS,02234500,,1.92,1400,,
2000-11-24,USGS,02234500,,1.87,1730,,
2000-11-25,USGS,02234500,,1.77,1830,,
2000-11-26,USGS,02234500,,1.73,1420,,
2000-11-27,USGS,02234500,,1.73,1500,,
2000-11-28,USGS,02234500,,1.66,1620,,
2000-11-29,USGS,02234500,,1.58,1500,,
2000-11-30,USGS,02234500,,1.51,1510,,
2000-12-01,USGS,02234500,,1.44,1480,,
2000-12-02,USGS,02234500,,1.39,1500,,
2000-12-03,USGS,02234500,,1.37,301,,
2000-12-04,USGS,02234500,,1.52,-912,,
2000-12-05,USGS,02234500,,1.71,-552,,
2000-12-06,USGS,02234500,,1.77,296,,
2000-12-07,USGS,02234500,,1.76,712,,
2000-12-08,USGS,02234500,,1.73,1060,,
2000-12-09,USGS,02234500,,1.69,1390,,
2000-12-10,USGS,02234500,,1.62,1260,,
2000-12-11,USGS,02234500,,1.58,1230,,
2000-12-12,USGS,02234500,,1.59,962,,
2000-12-13,USGS,02234500,,1.57,1020,,
2000-12-14,USGS,02234500,,1.54,1090,,
2000-12-15,USGS,02234500,,1.52,1050,,
2000-12-16,USGS,02234500,,1.48,1350,,
2000-12-17,USGS,02234500,,1.36,671,,
2000-12-18,USGS,02234500,,1.33,938,,
2000-12-19,USGS,02234500,,1.21,1270,,
2000-12-20,USGS,02234500,,1.14,866,,
2000-12-21,USGS,02234500,,1.09,1380,,
2000-12-22,USGS,02234500,,1.01,1340,,
2000-12-23,USGS,02234500,,0.97,973,,
2000-12-24,USGS,02234500,,1.00,-20.0,,
2000-12-25,USGS,02234500,,1.08,36.0,,
2000-12-26,USGS,02234500,,1.19,-128,,
2000-12-27,USGS,02234500,,1.24,500,,
2000-12-28,USGS,02234500,,1.21,782,,
2000-12-29,USGS,02234500,,1.21,-71.0,,
2000-12-30,USGS,02234500,,1.24,-216,,
2000-12-31,USGS,02234500,,1.26,584,,
2001-01-01,USGS,02234500,,1.20,1240,,
2001-01-02,USGS,02234500,,1.09,1300,,
2001-01-03,USGS,02234500,,1.02,1160,,
2001-01-04,USGS,02234500,,0.95,1050,,
2001-01-05,USGS,02234500,,0.89,1260,,
2001-01-06,USGS,02234500,,0.82,1270,,
2001-01-07,USGS,02234500,,0.75,1330,,
2001-01-08,USGS,02234500,,0.68,1210,,
2001-01-09,USGS,02234500,,0.62,89.0,,
2001-01-10,USGS,02234500,,0.68,734,,
2001-01-11,USGS,02234500,,0.67,947,,
2001-01-12,USGS,02234500,,0.63,593,,
2001-01-13,USGS,02234500,,0.70,-232,,
2001-01-14,USGS,02234500,,0.79,-141,,
2001-01-15,USGS,02234500,,0.88,-41.0,,
2001-01-16,USGS,02234500,,0.91,440,,
2001-01-17,USGS,02234500,,0.90,764,,
2001-01-18,USGS,02234500,,0.88,1010,,
2001-01-19,USGS,02234500,,0.84,1030,,
2001-01-20,USGS,02234500,,0.77,191,,
2001-01-21,USGS,02234500,,0.83,198,,
2001-01-22,USGS,02234500,,0.76,567,,
2001-01-23,USGS,02234500,,0.78,-546,,
2001-01-24,USGS,02234500,,0.89,206,,
2001-01-25,USGS,02234500,,0.91,-506,,
2001-01-26,USGS,02234500,,0.96,484,,
2001-01-27,USGS,02234500,,0.94,686,,
2001-01-28,USGS,02234500,,0.90,947,,
2001-01-29,USGS,02234500,,0.85,1260,,
2001-01-30,USGS,02234500,,0.76,1360,,
2001-01-31,USGS,02234500,,0.68,1130,,
2001-02-01,USGS,02234500,,0.62,1050,,
2001-02-02,USGS,02234500,,0.56,758,,
2001-02-03,USGS,02234500,,0.53,735,,
2001-02-04,USGS,02234500,,0.53,342,,
2001-02-05,USGS,02234500,,0.55,341,,
2001-02-06,USGS,02234500,,0.58,708,,
2001-02-07,USGS,02234500,,0.57,812,,
2001-02-08,USGS,02234500,,0.56,880,,
2001-02-09,USGS,02234500,,0.55,925,,
2001-02-10,USGS,02234500,,0.51,596,,
2001-02-11,USGS,02234500,,0.48,432,,
2001-02-12,USGS,02234500,,0.52,-0.22,,
2001-02-13,USGS,02234500,,0.59,-25.0,,
2001-02-14,USGS,02234500,,0.63,440,,
2001-02-15,USGS,02234500,,0.60,766,,
2001-02-16,USGS,02234500,,0.55,963,,
2001-02-17,USGS,02234500,,0.48,631,,
2001-02-18,USGS,02234500,,0.48,55.0,,
2001-02-19,USGS,02234500,,0.58,258,,
2001-02-20,USGS,02234500,,0.62,109,,
2001-02-21,USGS,02234500,,0.62,243,,
2001-02-22,USGS,02234500,,0.58,563,,
2001-02-23,USGS,02234500,,0.56,90.0,,
2001-02-24,USGS,02234500,,0.66,641,,
2001-02-25,USGS,02234500,,0.65,232,,
2001-02-26,USGS,02234500,,0.66,-143,,
2001-02-27,USGS,02234500,,0.66,618,,
2001-02-28,USGS,02234500,,0.61,154,,
2001-03-01,USGS,02234500,,0.61,-14.0,,
2001-03-02,USGS,02234500,,0.62,296,,
2001-03-03,USGS,02234500,,0.59,723,,
2001-03-04,USGS,02234500,,0.52,968,,
2001-03-05,USGS,02234500,,0.36,-134,,
2001-03-06,USGS,02234500,,0.36,-619,,
2001-03-07,USGS,02234500,,0.41,-47.0,,
2001-03-08,USGS,02234500,,0.46,358,,
2001-03-09,USGS,02234500,,0.50,80.0,,
2001-03-10,USGS,02234500,,0.60,-583,,
2001-03-11,USGS,02234500,,0.74,-822,,
2001-03-12,USGS,02234500,,0.85,-138,,
2001-03-13,USGS,02234500,,0.90,-338,,
2001-03-14,USGS,02234500,,0.94,123,,
2001-03-15,USGS,02234500,,0.85,840,,
2001-03-16,USGS,02234500,,0.75,701,,
2001-03-17,USGS,02234500,,0.64,601,,
2001-03-18,USGS,02234500,,0.63,-242,,
2001-03-19,USGS,02234500,,0.88,-681,,
2001-03-20,USGS,02234500,,1.23,-1310,,
2001-03-21,USGS,02234500,,1.34,-1370,,
2001-03-22,USGS,02234500,,1.42,-383,,
2001-03-23,USGS,02234500,,1.39,585,,
2001-03-24,USGS,02234500,,1.35,821,,
2001-03-25,USGS,02234500,,1.29,711,,
2001-03-26,USGS,02234500,,1.24,464,,
2001-03-27,USGS,02234500,,1.21,330,,
2001-03-28,USGS,02234500,,1.20,675,,
2001-03-29,USGS,02234500,,1.22,614,,
2001-03-30,USGS,02234500,,1.30,507,,
2001-03-31,USGS,02234500,,1.27,479,,
2001-04-01,USGS,02234500,,1.21,487,,
2001-04-02,USGS,02234500,,1.21,785,,
2001-04-03,USGS,02234500,,1.13,870,,
2001-04-04,USGS,02234500,,1.05,699,,
2001-04-05,USGS,02234500,,1.00,599,,
2001-04-06,USGS,02234500,,1.00,485,,
2001-04-07,USGS,02234500,,0.99,415,,
2001-04-08,USGS,02234500,,0.96,475,,
2001-04-09,USGS,02234500,,0.91,346,,
2001-04-10,USGS,02234500,,0.85,174,,
2001-04-11,USGS,02234500,,0.79,670,,
2001-04-12,USGS,02234500,,0.72,352,,
2001-04-13,USGS,02234500,,0.68,-112,,
2001-04-14,USGS,02234500,,0.66,-201,,
2001-04-15,USGS,02234500,,0.64,133,,
2001-04-16,USGS,02234500,,0.61,-746,,
2001-04-17,USGS,02234500,,0.64,-674,,
2001-04-18,USGS,02234500,,0.77,-1350,,
2001-04-19,USGS,02234500,,0.83,-100,,
2001-04-20,USGS,02234500,,0.80,314,,
2001-04-21,USGS,02234500,,0.72,308,,
2001-04-22,USGS,02234500,,0.67,272,,
2001-04-23,USGS,02234500,,0.60,228,,
2001-04-24,USGS,02234500,,0.53,211,,
2001-04-25,USGS,02234500,,0.47,-174,,
2001-04-26,USGS,02234500,,0.57,-854,,
2001-04-27,USGS,02234500,,0.66,-161,,
2001-04-28,USGS,02234500,,0.66,-230,,
2001-04-29,USGS,02234500,,0.66,45.0,,
2001-04-30,USGS,02234500,,0.64,-620,,
2001-05-01,USGS,02234500,,0.73,-748,,
2001-05-02,USGS,02234500,,0.80,-509,,
2001-05-03,USGS,02234500,,0.84,-457,,
2001-05-04,USGS,02234500,,0.90,-329,,
2001-05-05,USGS,02234500,,0.92,-291,,
2001-05-06,USGS,02234500,,0.94,-136,,
2001-05-07,USGS,02234500,,0.97,-332,,
2001-05-08,USGS,02234500,,1.08,-842,,
2001-05-09,USGS,02234500,,1.19,-939,,
2001-05-10,USGS,02234500,,1.25,-269,,
2001-05-11,USGS,02234500,,1.23,365,,
2001-05-12,USGS,02234500,,1.17,611,,
2001-05-13,USGS,02234500,,1.09,504,,
2001-05-14,USGS,02234500,,1.04,845,,
2001-05-15,USGS,02234500,,0.98,640,,
2001-05-16,USGS,02234500,,0.93,208,,
2001-05-17,USGS,02234500,,0.89,-195,,
2001-05-18,USGS,02234500,,0.93,-582,,
2001-05-19,USGS,02234500,,0.99,-359,,
2001-05-20,USGS,02234500,,0.98,183,,
